FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.3323746,3323746,POINT (16.37573974071927 48.220625305024775),
HYDRANTOGD.3323747,3323747,POINT (16.402831143250005 48.275843786206735),
HYDRANTOGD.3323748,3323748,POINT (16.443894646405855 48.22079974268915),
HYDRANTOGD.3323749,3323749,POINT (16.30762389430512 48.15046943088655),
HYDRANTOGD.3323750,3323750,POINT (16.32770421244802 48.179936795499515),
HYDRANTOGD.3323751,3323751,POINT (16.320688593159268 48.13793735921886),
HYDRANTOGD.3323752,3323752,POINT (16.38361297171996 48.22077920327559),
HYDRANTOGD.3323753,3323753,POINT (16.370281375134226 48.173645343547875),
HYDRANTOGD.3323754,3323754,POINT (16.329249477369427 48.1958669838781),
HYDRANTOGD.3323755,3323755,POINT (16.51378135504622 48.2112897278146),
HYDRANTOGD.3323756,3323756,POINT (16.319949625786574 48.16116466206382),
HYDRANTOGD.3323757,3323757,POINT (16.255098601623573 48.14938350185387),
HYDRANTOGD.3323758,3323758,POINT (16.30739480786434 48.16157966624449),
HYDRANTOGD.3323759,3323759,POINT (16.41387921729319 48.13179525017835),
HYDRANTOGD.3323760,3323760,POINT (16.33355548177695 48.20808979826611),
HYDRANTOGD.3323761,3323761,POINT (16.24234825054726 48.21260263619015),
HYDRANTOGD.3323762,3323762,POINT (16.349649358415597 48.23200227916384),
HYDRANTOGD.3323763,3323763,POINT (16.331277659393734 48.22027456914729),
HYDRANTOGD.3323764,3323764,POINT (16.3754743783681 48.138396219617846),
HYDRANTOGD.3323765,3323765,POINT (16.38994106790383 48.18679677981669),
HYDRANTOGD.3323766,3323766,POINT (16.261780081265055 48.16796857490205),
HYDRANTOGD.3323767,3323767,POINT (16.318636452539366 48.21354745235927),
HYDRANTOGD.3323768,3323768,POINT (16.366330397218064 48.19042743751557),
HYDRANTOGD.3323769,3323769,POINT (16.48253183049727 48.16230260980235),
HYDRANTOGD.3323770,3323770,POINT (16.316310507675805 48.21066023263786),
HYDRANTOGD.3323771,3323771,POINT (16.478884993333956 48.236273518996725),
HYDRANTOGD.3323772,3323772,POINT (16.308489562445438 48.215102184963655),
HYDRANTOGD.3323773,3323773,POINT (16.369567965598065 48.21619298493618),
HYDRANTOGD.3323774,3323774,POINT (16.4838315157109 48.24036079160839),
HYDRANTOGD.3323775,3323775,POINT (16.4994866112107 48.24072672988803),
HYDRANTOGD.3323776,3323776,POINT (16.3427947450294 48.24685296802774),
HYDRANTOGD.3323777,3323777,POINT (16.305361098208188 48.163582727361266),
HYDRANTOGD.3323778,3323778,POINT (16.27032314793727 48.17691084874713),
HYDRANTOGD.3323779,3323779,POINT (16.39007920125106 48.2740174264781),
HYDRANTOGD.3323780,3323780,POINT (16.383313728699292 48.20421172937685),
HYDRANTOGD.3323781,3323781,POINT (16.28436300719452 48.226253083921286),
HYDRANTOGD.3323782,3323782,POINT (16.42711076603419 48.2055263748378),
HYDRANTOGD.3323783,3323783,POINT (16.304102572897765 48.24365662021098),
HYDRANTOGD.3323784,3323784,POINT (16.43150009716294 48.2062160539255),
HYDRANTOGD.3323785,3323785,POINT (16.45783767616949 48.22075607859667),
HYDRANTOGD.3323786,3323786,POINT (16.423138827309636 48.30150724737545),
HYDRANTOGD.3323787,3323787,POINT (16.47152582943503 48.179475673584804),
